Provider,unique_physicians,unique_diagnosis_codes,unique_procedure_codes,dominant_state,dominant_gender,dominant_race,fraud,total_claims,inpatient_claims,outpatient_claims,avg_claim_amount_reimbursed,total_claim_amount_reimbursed,avg_deductible_amount,total_deductible_amount,unique_beneficiaries,avg_claim_duration,avg_patient_age,avg_chronic_condition_count,pct_claims_with_admit_diagnosis
PRV51001,19,72,3,1,2,1,0,25,5,20,4185.6,104640,213.6,5340.0,24,1.44,78.2094455852156,5.56,44.0
PRV51003,51,365,39,1,2,1,1,132,62,70,4588.409090909091,605670,502.1666666666667,66286.0,117,3.6742424242424243,69.5397921722357,4.545454545454546,59.09090909090909
PRV51004,48,267,0,1,2,1,0,149,0,149,350.13422818791946,52170,2.0805369127516777,310.0,138,1.429530201342282,71.73843418822266,4.342281879194631,18.79194630872483
PRV51005,7,1294,0,1,2,1,1,1165,0,1165,241.1244635193133,280910,3.1759656652360513,3700.0,495,1.088412017167382,70.02728332936756,4.335622317596567,21.630901287553648
PRV51007,11,165,1,1,2,1,0,72,3,69,468.19444444444446,33710,45.333333333333336,3264.0,58,0.9583333333333334,68.79017415773063,4.166666666666667,23.61111111111111
PRV51008,12,98,2,1,2,1,0,43,2,41,828.6046511627907,35630,53.86046511627907,2316.0,36,1.5348837209302326,75.14903777279022,3.9069767441860463,20.930232558139537
PRV51011,41,120,0,1,2,1,0,58,1,57,286.7241379310345,16630,23.586206896551722,1368.0,53,0.5517241379310345,73.87122660435696,4.586206896551724,22.413793103448278
PRV51012,24,105,0,1,2,1,0,48,0,48,351.875,16890,2.0833333333333335,100.0,31,3.7083333333333335,74.01517225644535,4.625,35.41666666666667
PRV51013,11,103,0,1,2,1,0,46,0,46,323.4782608695652,14880,5.0,230.0,44,1.4565217391304348,73.996964556736,4.413043478260869,26.08695652173913
PRV51014,9,93,0,1,2,1,0,30,0,30,349.3333333333333,10480,4.0,120.0,25,0.4666666666666667,70.61419119324663,4.333333333333333,16.666666666666664
PRV51015,6,22,0,1,2,1,0,8,0,8,87.5,700,0.0,0.0,7,0.375,71.5886379192334,6.375,0.0
PRV51016,3,21,0,1,1,1,0,6,0,6,28.333333333333332,170,0.0,0.0,6,0.3333333333333333,70.29158110882956,5.5,33.33333333333333
PRV51017,121,723,2,25,2,1,0,515,0,515,277.126213592233,142720,2.0388349514563107,1050.0,420,1.3572815533980582,72.17649834200542,4.36504854368932,23.689320388349515
PRV51021,80,520,18,1,2,1,1,257,29,228,1357.3151750972763,348830,122.53696498054475,31492.0,208,2.0,72.59830029535763,4.715953307392996,33.46303501945525
PRV51023,17,130,5,1,2,1,0,36,9,27,1822.5,65610,246.4,8624.0,35,3.6666666666666665,72.84789717849266,4.361111111111111,33.33333333333333
PRV51024,14,112,7,1,2,1,0,39,9,30,1642.3076923076924,64050,248.76923076923077,9702.0,38,1.641025641025641,68.19572123062883,4.717948717948718,46.15384615384615
PRV51025,42,222,11,1,2,1,0,87,13,74,1360.344827586207,118350,164.183908045977,14284.0,76,2.1724137931034484,73.55214110945896,4.436781609195402,33.33333333333333
PRV51026,37,142,0,1,2,1,0,76,0,76,261.05263157894734,19840,4.473684210526316,340.0,56,1.0921052631578947,69.63013797326992,4.078947368421052,14.473684210526317
PRV51027,10,106,0,1,2,1,0,53,0,53,563.0188679245283,29840,0.0,0.0,44,2.1320754716981134,73.01439954541345,4.830188679245283,15.09433962264151
PRV51029,45,202,0,1,2,1,0,93,0,93,329.6774193548387,30660,1.7204301075268817,160.0,79,0.6989247311827957,70.95726156042775,3.913978494623656,18.27956989247312
PRV51030,54,465,48,1,2,1,0,171,82,89,4326.081871345029,739760,510.2823529411765,86748.0,145,3.198830409356725,71.86725426388239,4.7894736842105265,60.23391812865497
PRV51031,70,384,23,1,2,1,0,185,28,157,1944.4324324324325,359720,163.48108108108107,30244.0,157,2.0,72.6351961818081,4.956756756756757,33.513513513513516
PRV51032,13,47,0,11,2,1,0,23,0,23,235.65217391304347,5420,2.1739130434782608,50.0,21,0.9130434782608695,69.46475017111567,4.434782608695652,30.434782608695656
PRV51035,22,59,1,1,2,1,0,30,1,29,1085.3333333333333,32560,47.6,1428.0,25,2.2666666666666666,73.88683550079854,4.933333333333334,23.333333333333332
PRV51036,5,463,0,1,2,1,0,278,0,278,269.3525179856115,74880,5.071942446043166,1410.0,131,1.0503597122302157,72.64706838225518,4.399280575539568,15.827338129496402
PRV51037,4,690,12,1,2,1,1,454,23,431,753.8105726872246,342230,56.220264317180614,25524.0,206,1.5330396475770924,71.9163689103173,4.656387665198238,25.770925110132158
PRV51038,54,323,14,1,2,1,0,141,30,111,1882.9078014184397,265490,222.8,31192.0,107,1.7801418439716312,71.59196314580997,4.843971631205674,34.751773049645394
PRV51040,17,206,7,1,2,1,0,86,9,77,865.9302325581396,74470,103.34117647058824,8784.0,69,1.6627906976744187,71.21188099899719,4.372093023255814,30.23255813953488
