feature,importance
num__total_claim_amount_reimbursed,0.2330050482597054
num__total_deductible_amount,0.11560038792927183
num__unique_procedure_codes,0.08884048892471931
num__inpatient_claims,0.08101101614012267
num__unique_diagnosis_codes,0.07192870863680155
num__avg_deductible_amount,0.052220127490178396
num__unique_beneficiaries,0.04705126927225507
num__avg_claim_amount_reimbursed,0.04613278329427837
num__total_claims,0.04545999373156564
num__avg_claim_duration,0.039675274183940026
num__avg_patient_age,0.03501667751719873
num__outpatient_claims,0.03324472704887404
num__avg_chronic_condition_count,0.031213749016189684
num__pct_claims_with_admit_diagnosis,0.02793176482650996
num__unique_physicians,0.024915558912710824
